epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2152.54,1.51614,1.80849,1.21521,0.88764,0.50304,0.55551,0.32678,1.47222,1.3469,1.25223,0.000474178,0.000474178,0.000474178
2,5699.25,1.46583,1.24228,1.18179,0.88181,0.45182,0.50768,0.30522,1.44405,1.39714,1.2325,0.000912871,0.000912871,0.000912871
3,8514.44,1.43691,1.10707,1.17219,0.91686,0.5176,0.57985,0.35115,1.41554,1.00551,1.21933,0.00131384,0.00131384,0.00131384
4,11208.1,1.41966,1.03202,1.17025,0.91813,0.54428,0.59458,0.35501,1.41115,0.89239,1.20304,0.00125923,0.00125923,0.00125923
5,13905.1,1.4071,0.99293,1.16419,0.92362,0.54365,0.59244,0.35678,1.40151,0.86818,1.18742,0.00120265,0.00120265,0.00120265
6,16574.2,1.38068,0.93441,1.15084,0.91511,0.53472,0.58609,0.36975,1.36077,0.85603,1.17724,0.00114606,0.00114606,0.00114606
7,19215,1.36548,0.90515,1.14226,0.91841,0.55377,0.60183,0.35809,1.43061,0.87259,1.22245,0.00108947,0.00108947,0.00108947
8,21877,1.34727,0.87239,1.13447,0.90312,0.55897,0.59416,0.36869,1.36125,0.86666,1.17445,0.00103288,0.00103288,0.00103288
9,24967.8,1.3561,0.86455,1.13562,0.92855,0.56523,0.6135,0.38276,1.35799,0.796,1.17698,0.000976293,0.000976293,0.000976293
10,28612.5,1.33048,0.83462,1.12586,0.9356,0.55943,0.60444,0.38256,1.33681,0.76498,1.16695,0.000919704,0.000919704,0.000919704
11,31355.6,1.31023,0.81057,1.12207,0.9466,0.5644,0.61345,0.38492,1.33249,0.73933,1.15875,0.000863116,0.000863116,0.000863116
12,33970.7,1.30016,0.79927,1.11509,0.93395,0.56509,0.61463,0.38646,1.32,0.76456,1.16271,0.000806528,0.000806528,0.000806528
13,36512.3,1.28705,0.77636,1.10418,0.93719,0.57159,0.61548,0.39557,1.31278,0.72259,1.15254,0.000749939,0.000749939,0.000749939
14,39054.6,1.29265,0.77293,1.10945,0.93213,0.57809,0.61881,0.39327,1.30179,0.72631,1.14886,0.000693351,0.000693351,0.000693351
15,41633.7,1.26726,0.74757,1.09793,0.94207,0.57244,0.61994,0.39841,1.29809,0.69618,1.14556,0.000636762,0.000636762,0.000636762
16,44149.4,1.25502,0.67839,1.10811,0.94855,0.57743,0.6241,0.40111,1.29081,0.68539,1.14325,0.000580174,0.000580174,0.000580174
17,46683.4,1.24926,0.66294,1.10406,0.94155,0.57918,0.62261,0.40168,1.29975,0.68677,1.14314,0.000523586,0.000523586,0.000523586
